osmid,y,x,street_count,highway,geometry
1486326036,734104.2112249302,539593.4109188,1,,POINT (539593.4109188 734104.2112249302)
1486326018,734232.6075508358,539664.1158384382,4,,POINT (539664.1158384382 734232.6075508358)
1486325594,735381.4015925215,539111.237903056,1,,POINT (539111.237903056 735381.4015925215)
1486325598,734071.5506206672,539125.0295290817,3,,POINT (539125.0295290817 734071.5506206672)
1486325891,733974.050892481,538973.8201505437,1,,POINT (538973.8201505437 733974.050892481)
1486325750,733990.8115002284,539177.6026673367,3,,POINT (539177.6026673367 733990.8115002284)
1486325601,734185.7140318376,539158.0643010663,3,,POINT (539158.0643010663 734185.7140318376)
1486325899,734258.7097404542,539144.714728004,4,,POINT (539144.714728004 734258.7097404542)
1486325963,734187.0964372716,539174.311985487,3,,POINT (539174.311985487 734187.0964372716)
1486325759,734175.0424073322,539090.8112573203,4,,POINT (539090.8112573203 734175.0424073322)
1486325605,734440.0306395248,539454.9554377533,1,,POINT (539454.9554377533 734440.0306395248)
1486325740,734517.1655799233,539570.7953215438,3,,POINT (539570.7953215438 734517.1655799233)
1486325612,735655.6751814665,539258.7679456074,3,,POINT (539258.7679456074 735655.6751814665)
1486325716,735629.7234164228,539188.3001541696,3,,POINT (539188.3001541696 735629.7234164228)
6852874229,735762.3614157366,539208.7308193472,1,,POINT (539208.7308193472 735762.3614157366)
1486325626,734707.0805363525,539118.1090270709,1,,POINT (539118.1090270709 734707.0805363525)
1486325627,734195.9400585836,539251.293409784,1,,POINT (539251.293409784 734195.9400585836)
1486325633,734943.486302745,539519.2103995539,3,,POINT (539519.2103995539 734943.486302745)
1486325727,735007.9090071622,539559.3538584536,3,,POINT (539559.3538584536 735007.9090071622)
1486325847,734946.256114196,539512.3995226051,3,,POINT (539512.3995226051 734946.256114196)
